date,open,high,low,close,volume,amount,rsi_14,macd_dif,macd_dea,macd_hist,boll_mid,boll_upper,boll_lower,boll_width,atr_14
2025-11-21,71.1,71.95,68.6,68.8,107859632.0,7538430313.0,40.70381213972793,-0.7352193584800375,-0.1541958172679225,-0.581023541212115,74.8925,81.69615807179386,68.08884192820614,0.18169130611994158,4.070872356796464
2025-11-24,69.05,69.55,63.7,68.05,146771590.0,9721540241.0,39.6245226548151,-1.0932707445302583,-0.3420108027203897,-0.7512599418098687,74.295,81.30581120015378,67.28418879984622,0.18872901810764606,4.197952902739574
2025-11-25,68.9,70.25,66.9,67.95,77251132.0,5306909261.0,39.47422924434976,-1.369313616854157,-0.5474713655471433,-0.8218422513070138,73.5525,79.8831667978385,67.22183320216149,0.17214008491454413,4.137384838258176
2025-11-26,67.8,69.95,66.9,68.85,48414677.0,3324895741.0,41.620399672163856,-1.498186937143771,-0.7376144798664689,-0.7605724572773022,72.99,78.85305111874735,67.12694888125264,0.1606535448348363,4.059714492668306
2025-11-27,69.15,71.8,68.15,68.35,67041842.0,4692901086.0,40.7557797021586,-1.6219687472037947,-0.9144853333339341,-0.7074834138698606,72.4475,77.88348874945513,67.01151125054488,0.15006697952186396,4.0304491717634265
2025-11-28,69.6,69.6,67.9,68.8,34635482.0,2380158686.0,41.925103142800346,-1.6645673875960796,-1.0645017441863633,-0.6000656434097162,72.1375,77.66693082632834,66.60806917367167,0.1533025354726276,3.863988516637467
2025-12-01,68.9,69.95,67.85,69.45,36618423.0,2532143772.0,43.655036201450265,-1.6271211099820988,-1.1770256173455105,-0.4500954926365883,71.9675,77.61255139597066,66.32244860402935,0.15687779611548697,3.7379893368776487
2025-12-02,69.35,69.65,68.05,68.65,23942332.0,1643697393.0,41.99690294736663,-1.6430578313958506,-1.2702320601555785,-0.37282577124027205,71.8075,77.64470147439027,65.97029852560973,0.16257915884525348,3.58527581281496
2025-12-03,68.15,69.25,66.85,67.2,35626389.0,2414488068.0,39.09819486194612,-1.7524890765901517,-1.3666834634424934,-0.3858056131476584,71.58250000000001,77.77334850914238,65.39165149085764,0.17297100573861962,3.500613254756749
2025-12-04,67.3,70.25,66.55,69.8,50376074.0,3464806371.0,46.260762648686665,-1.6108470142598605,-1.415516173605967,-0.1953308406538936,71.225,76.91640626410998,65.53359373589001,0.15981484771105614,3.514855165131267
2025-12-05,69.75,70.9,68.55,69.75,45551129.0,3185007812.0,46.148360091342354,-1.485505261559382,-1.42951399119665,-0.055991270362732104,70.94,76.30191246321222,65.57808753678778,0.15116753490871782,3.4316512247647486
